Temperature (C),Wind Speed (km/h),Humidity
9.47222222222222,14.1197,89.0
9.355555555555558,14.2646,86.0
9.377777777777778,3.9284,89.0
8.28888888888889,14.1036,83.0
8.755555555555553,11.0446,83.0
9.22222222222222,13.9587,85.0
7.733333333333334,12.3648,95.0
8.77222222222222,14.1519,89.0
10.82222222222222,11.3183,82.0
13.77222222222222,12.525800000000002,72.0
16.016666666666666,17.5651,67.0
17.144444444444446,19.7869,54.0
17.800000000000004,21.9443,55.00000000000001
17.333333333333332,20.6885,51.0
18.87777777777778,15.375500000000002,47.0
18.911111111111115,10.4006,46.0
15.38888888888889,14.4095,60.0
15.550000000000002,11.1573,63.0
14.255555555555553,8.5169,69.0
13.144444444444442,7.631400000000001,70.0
11.55,7.3899,77.0
11.183333333333334,4.9266000000000005,76.0
10.116666666666667,6.6493,79.0
10.2,3.9284,77.0
10.42222222222222,16.985500000000002,62.0
9.911111111111111,17.2109,66.0
11.183333333333334,10.8192,80.0
7.155555555555556,11.0768,79.0
6.111111111111111,6.6493,82.0
6.788888888888888,13.0088,83.0
7.26111111111111,11.1734,85.0
7.799999999999999,12.8156,83.0
9.872222222222224,13.7494,78.0
12.22222222222222,15.633100000000002,72.0
15.094444444444449,17.549000000000003,61.0
17.355555555555558,22.7815,52.0
19.00555555555555,23.8924,46.0
20.04444444444444,28.3682,40.0
21.05,26.9031,40.0
21.18333333333333,25.6956,37.0
20.11666666666666,25.309200000000004,40.0
20.216666666666665,18.1125,36.0
20.0,23.425500000000003,43.0
17.800000000000004,20.0445,50.0
16.06111111111111,21.3969,53.0
15.02222222222222,21.3808,55.00000000000001
14.422222222222224,20.0123,57.99999999999999
14.255555555555553,16.5025,59.0
13.77222222222222,17.0982,60.0
13.283333333333331,14.3612,63.0
8.633333333333333,22.0409,87.0
11.25,11.3344,83.0
11.183333333333334,11.2056,89.0
10.694444444444445,10.4006,95.0
11.11111111111111,12.0106,93.0
11.11111111111111,9.2092,93.0
12.166666666666666,9.9015,82.0
12.755555555555556,13.8299,79.0
13.838888888888889,9.0965,84.0
16.183333333333334,0.6440000000000001,73.0
17.516666666666666,0.6762,67.0
17.383333333333333,3.864,67.0
17.36111111111111,7.824600000000001,71.0
17.205555555555556,15.5848,74.0
15.633333333333333,23.6992,81.0
13.577777777777776,20.9622,90.0
10.911111111111111,22.395100000000003,86.0
8.800000000000002,26.5006,99.0
8.961111111111112,23.2162,93.0
8.199999999999998,25.4219,96.0
7.688888888888891,28.1267,96.0
7.766666666666664,19.2878,96.0
8.199999999999998,20.447,96.0
8.177777777777777,27.8691,93.0
7.311111111111109,6.745900000000001,82.0
7.644444444444442,14.9086,93.0
6.622222222222224,25.035500000000003,93.0
6.683333333333334,19.8352,93.0
6.0888888888888895,28.0945,93.0
6.066666666666667,27.9818,93.0
6.144444444444446,30.863700000000005,93.0
7.133333333333336,32.1678,80.0
7.205555555555555,26.5328,86.0
7.566666666666666,28.33600000000001,84.0
8.900000000000002,29.833300000000005,77.0
9.961111111111112,28.480900000000005,71.0
9.888888888888888,28.5131,71.0
11.066666666666668,25.6956,71.0
10.116666666666667,25.3414,76.0
11.038888888888888,21.413000000000004,66.0
10.65,17.8549,70.0
10.050000000000002,15.1984,70.0
9.9,15.7297,66.0
8.794444444444444,12.3648,71.0
7.827777777777779,13.894300000000005,72.0
7.855555555555556,9.8049,72.0
7.316666666666667,6.6654,75.0
7.244444444444444,7.1162,75.0
5.438888888888888,3.719100000000001,88.0
7.200000000000001,14.4739,76.0
6.688888888888888,20.5275,70.0
6.211111111111111,19.3039,73.0
6.111111111111111,17.436300000000003,76.0
6.111111111111111,20.4148,76.0
6.172222222222222,17.0499,76.0
7.222222222222222,20.5114,71.0
7.288888888888888,17.6456,73.0
7.405555555555555,14.4095,72.0
7.96111111111111,10.7548,70.0
8.033333333333335,4.8622000000000005,70.0
9.07777777777778,2.3828,65.0
9.05,0.322,62.0
9.05,3.2522,65.0
9.183333333333334,3.0107000000000004,65.0
9.07222222222222,10.465,70.0
7.983333333333332,7.3416,75.0
8.072222222222223,9.5151,75.0
7.894444444444446,9.9981,82.0
7.311111111111109,13.685,83.0
7.33888888888889,11.5437,84.0
6.622222222222224,12.719,85.0
6.066666666666667,12.8961,88.0
8.338888888888887,0.6923,88.0
5.183333333333333,5.5384,91.0
3.722222222222224,5.2003,94.0
4.855555555555557,5.618900000000001,93.0
5.211111111111112,4.7656,92.0
6.255555555555555,7.921200000000001,92.0
7.794444444444445,9.7566,87.0
10.050000000000002,9.6922,76.0
12.2,14.49,66.0
12.7,20.3343,63.0
13.933333333333332,23.5865,57.99999999999999
15.094444444444449,22.2985,59.0
15.150000000000002,14.715400000000002,50.0
16.177777777777777,14.49,44.0
16.25,14.715400000000002,55.00000000000001
16.29444444444444,19.5937,50.0
16.099999999999998,14.828100000000004,56.00000000000001
12.955555555555556,11.9784,68.0
13.85,11.5598,64.0
12.77777777777778,14.2485,69.0
12.15,11.253900000000002,72.0
10.677777777777775,5.7799000000000005,81.0
10.444444444444445,2.6404,83.0
9.822222222222225,5.313,80.0
11.02777777777778,11.382700000000002,74.0
7.138888888888889,3.6547,93.0
7.622222222222222,10.8675,89.0
7.627777777777775,6.5205,86.0
7.044444444444444,11.3988,86.0
8.599999999999998,9.66,84.0
9.65,15.955100000000002,84.0
12.105555555555554,13.1698,72.0
12.77777777777778,13.1698,71.0
13.81111111111111,9.6761,65.0
16.016666666666666,11.237800000000002,48.0
17.127777777777776,12.7029,47.0
17.144444444444446,10.6099,43.0
17.77777777777778,7.953400000000001,40.0
17.77777777777778,2.5921000000000003,37.0
17.805555555555557,11.0124,43.0
16.15555555555555,9.1931,52.0
14.05,9.160900000000002,63.0
13.08888888888889,9.2736,67.0
12.288888888888888,9.4507,72.0
12.77777777777778,11.0768,66.0
12.727777777777776,13.3791,67.0
12.266666666666666,14.1358,69.0
11.71111111111111,11.3183,71.0
10.82777777777778,9.177,86.0
12.2,14.168000000000005,59.0
12.2,14.296800000000005,60.0
11.688888888888888,13.8299,68.0
11.205555555555556,14.007,77.0
11.133333333333333,15.4882,77.0
11.43888888888889,13.8782,77.0
13.033333333333337,14.457800000000002,81.0
17.244444444444444,25.0194,62.0
17.73888888888889,27.37,53.0
17.84444444444445,22.218000000000004,56.00000000000001
18.86111111111111,23.5382,56.00000000000001
18.666666666666664,19.8996,56.00000000000001
17.82222222222222,17.5007,56.00000000000001
17.800000000000004,17.693900000000003,59.0
17.349999999999998,19.5615,56.99999999999999
16.06666666666667,21.815500000000004,67.0
14.933333333333334,17.2753,73.0
13.922222222222224,11.7691,78.0
12.755555555555556,11.0446,84.0
12.755555555555556,11.0607,84.0
12.372222222222224,7.293300000000001,86.0
11.183333333333334,6.923,93.0
11.666666666666666,11.1734,90.0
8.977777777777776,10.3201,95.0
10.577777777777776,11.1734,93.0
10.533333333333337,14.007,89.0
10.58888888888889,7.293300000000001,87.0
9.983333333333333,6.7298,89.0
11.022222222222224,7.889000000000001,86.0
13.538888888888888,11.8657,75.0
13.88888888888889,20.0123,68.0
15.0,17.581200000000003,67.0
17.183333333333334,15.955100000000002,56.99999999999999
16.2,16.309300000000004,62.0
17.75,17.7744,56.00000000000001
18.40555555555555,19.0785,54.0
17.82222222222222,17.5973,59.0
17.31111111111111,20.3343,56.99999999999999
17.505555555555553,13.7172,55.00000000000001
17.266666666666666,14.3773,54.0
15.13888888888889,10.8997,61.0
13.25,4.717300000000001,69.0
12.294444444444444,4.6690000000000005,72.0
10.699999999999998,3.5742000000000007,79.0
9.855555555555558,5.7477,85.0
9.522222222222222,11.27,88.0
8.405555555555557,3.1234,92.0
13.011111111111113,9.6278,82.0
7.733333333333334,3.4293,96.0
6.138888888888888,3.3488,96.0
6.472222222222221,2.9946,95.0
6.627777777777777,3.3005,96.0
8.68888888888889,1.4329,93.0
11.994444444444447,2.415,81.0
13.766666666666667,4.1538,78.0
15.088888888888889,7.3738,77.0
16.455555555555556,7.808499999999999,68.0
17.31111111111111,7.3738,62.0
17.872222222222224,8.372000000000002,64.0
19.038888888888884,7.0679,47.0
18.97777777777777,10.8675,51.0
19.00555555555555,4.8139,55.00000000000001
19.01111111111111,4.7978000000000005,53.0
17.866666666666664,10.9319,64.0
17.266666666666666,10.851400000000002,62.0
16.188888888888886,5.0876,61.0
14.883333333333333,9.177,72.0
14.327777777777776,10.9319,75.0
14.511111111111113,6.3756,75.0
14.372222222222222,6.5366,75.0
14.877777777777778,14.2163,72.0
10.405555555555551,3.6064000000000007,92.0
12.82222222222222,8.4364,83.0
12.8,14.425600000000005,85.0
12.82777777777778,13.894300000000005,86.0
12.266666666666666,15.778000000000002,85.0
12.266666666666666,15.5848,85.0
12.183333333333334,12.380900000000002,82.0
12.17222222222222,20.3826,80.0
12.711111111111112,22.0892,83.0
15.605555555555558,22.3468,78.0
16.022222222222226,18.064200000000003,78.0
17.200000000000003,17.6456,67.0
17.21666666666667,14.0875,71.0
17.82777777777778,13.4113,69.0
17.82777777777778,14.6188,69.0
17.733333333333334,9.2414,69.0
16.272222222222222,23.0713,71.0
13.166666666666668,3.7674,93.0
13.255555555555556,3.1395,93.0
13.011111111111113,10.3362,93.0
12.455555555555556,5.796,91.0
12.488888888888887,9.8854,90.0
9.555555555555555,6.488300000000001,80.0
10.622222222222222,14.023100000000005,79.0
8.722222222222223,4.5724,93.0
10.533333333333337,10.7709,77.0
9.444444444444445,6.5366,83.0
9.888888888888888,6.0858,83.0
10.366666666666664,10.706500000000002,78.0
8.88888888888889,10.4972,89.0
9.97777777777778,8.0017,84.0
12.2,2.4633000000000003,73.0
13.961111111111112,9.3058,67.0
14.944444444444445,7.1645,67.0
16.183333333333334,11.753,71.0
16.366666666666667,7.1323,61.0
17.372222222222224,3.6225,56.99999999999999
17.672222222222224,1.7549,51.0
17.72222222222222,8.6779,53.0
16.238888888888887,2.8336,61.0
14.066666666666666,9.2414,71.0
13.955555555555556,7.422100000000001,76.0
12.288888888888888,3.5420000000000007,80.0
10.02222222222222,3.1073,86.0
9.377777777777778,6.44,86.0
9.416666666666668,4.6046000000000005,90.0
11.827777777777776,3.0268,92.0
10.761111111111113,5.1681,91.0
12.155555555555557,2.8497000000000003,95.0
9.67222222222222,5.7155000000000005,94.0
8.15,6.7620000000000005,94.0
10.2,5.618900000000001,95.0
10.116666666666667,2.254,99.0
10.16111111111111,0.3381,99.0
11.244444444444447,2.7531000000000003,98.0
12.244444444444444,2.254,99.0
13.91111111111111,8.0983,92.0
15.616666666666667,2.2862,82.0
15.072222222222225,3.2844,86.0
15.072222222222225,7.5992,82.0
14.266666666666667,10.5616,87.0
16.016666666666666,6.6654,81.0
